id,cpf,sexo,peso_inicial,peso_atual,altura,biceps,peito
63,65604016772,f,64.9,61.42,1.53,36.24,125.15
64,64670263650,m,101.75,88.93,1.72,34.56,191.86
65,19223283167,f,142.22,133.02,1.64,82.85,120.76
66,41255858818,m,92.64,88.22,1.67,74.42,195.21
67,75561838407,m,167.7,168.83,1.5,42.88,130.95
68,74754232470,m,99.37,100.08,1.95,73.78,116.16
69,40946638942,m,105.59,92.17,1.86,53.87,130.62
70,26701927858,m,89.38,89.67,1.92,55.83,126.37
71,91680656120,f,163.03,153.93,2.07,99.73,161.02
72,28306715977,f,149.56,137.91,1.64,32.64,128.74
73,81016500084,f,91.33,91.97,1.77,78.26,119.98
74,76032109097,f,177.02,166.26,1.56,62.36,130.93
75,19135319453,m,105.84,109.20,1.94,58.15,157.46
76,63060247862,m,89.11,87.31,1.89,86.65,171.33
77,55171779139,f,125.68,118.71,1.73,42.47,110.77
78,44818709409,f,56.6,53.51,1.81,58.07,92.31
79,15645270347,m,74.88,77.44,1.64,46.99,119.92
80,73471662332,f,109.47,104.99,1.69,55.06,175.08
81,50689890109,f,152.53,141.00,1.81,47.12,152.25
82,26112678128,m,109.89,102.36,1.71,87.81,127.35
83,85915995438,f,132.79,127.11,1.97,68.73,154.01
84,18884648793,m,77.75,64.88,1.84,64.05,83.25
85,42946390756,m,132.12,133.74,1.93,84.42,111.66
86,29516577148,f,129.24,117.77,1.65,56.87,127.13
87,51966489250,m,73.74,68.80,1.54,96.65,198.13
88,16665300420,m,160.89,148.04,1.85,65.3,172.98
89,49181677995,f,117.89,103.28,1.81,56.63,90.98
90,79675014709,f,70.2,59.89,2.0,64.07,182.5
91,19618697215,m,178.18,170.65,2.05,31.76,183.63
92,96228168517,m,76.95,76.38,1.63,56.46,124.37
93,67292847498,f,160.16,152.80,2.03,43.43,140.51
94,79453465453,m,69.54,56.78,1.64,87.44,165.9
95,18707059477,f,72.42,76.11,1.73,43.04,177.79
96,33648009958,m,107.21,105.06,2.02,61.86,128.46
97,57229784344,f,120.31,111.46,1.93,31.51,149.73
98,68613352154,f,164.52,154.45,1.6,47.08,179.97
99,22500183599,f,104.21,96.95,1.69,63.33,185.59
100,13242194837,f,164.61,162.79,1.87,76.13,190.53
